Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",44.000000,-59.000000,180.000000,top
"C2","100n","C_0402_1005Metric",51.700000,-58.750000,0.000000,top
"C3","10u","C_0805_2012Metric",52.000000,-61.000000,0.000000,top
"C4","4.7u","C_0603_1608Metric",43.750000,-56.000000,180.000000,top
"C6","100n","C_0402_1005Metric",78.000000,-50.000000,90.000000,top
"C7","10u","C_0805_2012Metric",50.500000,-74.000000,90.000000,top
"C8","100n","C_0402_1005Metric",87.500000,-50.000000,90.000000,top
"C9","100n","C_0402_1005Metric",87.500000,-66.000000,90.000000,top
"C10","4.7u","C_0603_1608Metric",82.000000,-68.500000,90.000000,top
"C11","1u","C_0603_1608Metric",104.000000,-78.500000,90.000000,top
"C12","4.7u","C_0603_1608Metric",95.500000,-82.000000,90.000000,top
"C13","1u","C_0603_1608Metric",84.000000,-78.500000,90.000000,top
"C14","10u","C_0805_2012Metric",75.500000,-82.000000,90.000000,top
"C15","10n_C0G","C_0402_1005Metric",76.000000,-75.000000,90.000000,top
"CCT1","1n","C_0402_1005Metric",58.500000,-77.000000,90.000000,top
"CNRST1","100n","C_0402_1005Metric",91.000000,-55.000000,0.000000,top
"D1","SMF5.0A","D_SOD-123F",103.000000,-34.000000,90.000000,top
"F1","500mA_PTC","Fuse_1206_3216Metric",98.000000,-30.500000,0.000000,top
"FB1","600R@100MHz","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",88.000000,-82.000000,0.000000,top
"J1","USB-C_USB2_DEVICE","USB_C_Receptacle_HRO_TYPE-C-31-M-12",108.000000,-22.000000,90.000000,top
"J2","BWSMA-KE-P001 / C496550","SMA_Bat_Wireless_BWSMA-KE-P001_EdgeMount_1.6mm-PCB",12.700000,-50.000000,0.000000,top
"J3","BWSMA-KE-P001 / C496550","SMA_Bat_Wireless_BWSMA-KE-P001_EdgeMount_1.6mm-PCB",12.700000,-66.000000,0.000000,top
"J4","BWSMA-KE-P001 / C496550","SMA_Bat_Wireless_BWSMA-KE-P001_EdgeMount_1.6mm-PCB",12.700000,-18.000000,0.000000,top
"J5","BWSMA-KE-P001 / C496550","SMA_Bat_Wireless_BWSMA-KE-P001_EdgeMount_1.6mm-PCB",12.700000,-34.000000,0.000000,top
"J6","BWSMA-KE-P001 / C496550","SMA_Bat_Wireless_BWSMA-KE-P001_EdgeMount_1.6mm-PCB",12.700000,-82.000000,0.000000,top
"J7","BWSMA-KE-P001 / C496550","SMA_Bat_Wireless_BWSMA-KE-P001_EdgeMount_1.6mm-PCB",12.700000,-98.000000,0.000000,top
"J8","EXT_5V_LOW_NOISE","PinHeader_1x02_P2.54mm_Vertical",103.000000,-43.000000,90.000000,top
"J9","SWD","PinHeader_1x05_P2.54mm_Vertical",106.000000,-97.000000,0.000000,top
"J10","UART_HOST","PinHeader_1x06_P2.54mm_Vertical",106.000000,-62.000000,0.000000,top
"J11","5V_SOURCE_SELECT","PinHeader_1x03_P2.54mm_Vertical",95.000000,-97.000000,90.000000,top
"RCC1","5.1k_1%","R_0402_1005Metric",101.000000,-15.000000,0.000000,top
"RCC2","5.1k_1%","R_0402_1005Metric",104.000000,-15.000000,0.000000,top
"RCH0","0R_FITTED","R_0603_1608Metric",38.000000,-105.000000,0.000000,top
"RCS1","33R","R_0402_1005Metric",57.500000,-58.000000,0.000000,top
"RCS_PU1","100k","R_0402_1005Metric",46.000000,-62.500000,180.000000,top
"RENPD1","100k","R_0402_1005Metric",63.000000,-76.000000,0.000000,top
"RIRQ1","1k","R_0402_1005Metric",57.500000,-63.000000,0.000000,top
"RIRQPD1","10k","R_0402_1005Metric",60.000000,-66.500000,0.000000,top
"RMOSI1","33R","R_0402_1005Metric",57.500000,-54.000000,0.000000,top
"RNRST1","10k","R_0402_1005Metric",91.000000,-52.000000,0.000000,top
"ROEPU1","100k","R_0402_1005Metric",69.000000,-48.000000,0.000000,top
"RPC0","0R","R_0402_1005Metric",28.000000,-50.000000,0.000000,top
"RPC1","0R","R_0402_1005Metric",28.000000,-66.000000,0.000000,top
"RPC2","0R","R_0402_1005Metric",28.000000,-18.000000,0.000000,top
"RPC3","0R","R_0402_1005Metric",28.000000,-34.000000,0.000000,top
"RPC4","0R","R_0402_1005Metric",28.000000,-82.000000,0.000000,top
"RPC5","0R","R_0402_1005Metric",28.000000,-98.000000,0.000000,top
"RPS1","330k","R_0402_1005Metric",69.000000,-73.000000,0.000000,top
"RPS2","100k","R_0402_1005Metric",73.000000,-75.000000,90.000000,top
"RQOD1","470R","R_0402_1005Metric",58.500000,-72.500000,90.000000,top
"RSCK1","33R","R_0402_1005Metric",57.500000,-50.000000,0.000000,top
"SW1","RESET","SW_SPST_PTS810",94.500000,-58.500000,0.000000,top
"U1","PCAP04-AQFM-24_V2","QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm",48.000000,-58.000000,0.000000,top
"U2","STM32G0B1CBT6","LQFP-48_7x7mm_P0.5mm",83.000000,-58.000000,0.000000,top
"U3","TLV75533PDBVR","SOT-23-5",100.000000,-82.000000,0.000000,top
"U4","TPS7A2033PDBVR","SOT-23-5",80.000000,-82.000000,180.000000,top
"U5","TPS22918DBVR","SOT-23-6",55.000000,-74.000000,0.000000,top
"U6","SN74LV125APWR","TSSOP-14_4.4x5mm_P0.65mm",66.000000,-57.000000,0.000000,top
"U7","USBLC6-2SC6","SOT-23-6",98.000000,-22.000000,90.000000,top
