Designator,Mid X,Mid Y,Layer,Rotation
C1,44.000000mm,-59.000000mm,Top,180
C2,51.700000mm,-58.750000mm,Top,0
C3,52.000000mm,-61.000000mm,Top,0
C4,43.750000mm,-56.000000mm,Top,180
C6,78.000000mm,-50.000000mm,Top,90
C7,50.500000mm,-74.000000mm,Top,90
C8,87.500000mm,-50.000000mm,Top,90
C9,87.500000mm,-66.000000mm,Top,90
C10,82.000000mm,-68.500000mm,Top,90
C11,104.000000mm,-78.500000mm,Top,90
C12,95.500000mm,-82.000000mm,Top,90
C13,84.000000mm,-78.500000mm,Top,90
C14,75.500000mm,-82.000000mm,Top,90
C15,76.000000mm,-75.000000mm,Top,90
CCT1,58.500000mm,-77.000000mm,Top,90
CNRST1,91.000000mm,-55.000000mm,Top,0
D1,103.000000mm,-34.000000mm,Top,90
F1,98.000000mm,-30.500000mm,Top,0
FB1,88.000000mm,-82.000000mm,Top,0
J1,108.000000mm,-22.000000mm,Top,90
RCC1,101.000000mm,-15.000000mm,Top,0
RCC2,104.000000mm,-15.000000mm,Top,0
RCH0,38.000000mm,-105.000000mm,Top,0
RCS1,57.500000mm,-58.000000mm,Top,0
RCS_PU1,46.000000mm,-62.500000mm,Top,180
RENPD1,63.000000mm,-76.000000mm,Top,0
RIRQ1,57.500000mm,-63.000000mm,Top,0
RIRQPD1,60.000000mm,-66.500000mm,Top,0
RMOSI1,57.500000mm,-54.000000mm,Top,0
RNRST1,91.000000mm,-52.000000mm,Top,0
ROEPU1,69.000000mm,-48.000000mm,Top,0
RPC0,28.000000mm,-50.000000mm,Top,0
RPC1,28.000000mm,-66.000000mm,Top,0
RPC2,28.000000mm,-18.000000mm,Top,0
RPC3,28.000000mm,-34.000000mm,Top,0
RPC4,28.000000mm,-82.000000mm,Top,0
RPC5,28.000000mm,-98.000000mm,Top,0
RPS1,69.000000mm,-73.000000mm,Top,0
RPS2,73.000000mm,-75.000000mm,Top,90
RQOD1,58.500000mm,-72.500000mm,Top,90
RSCK1,57.500000mm,-50.000000mm,Top,0
SW1,94.500000mm,-58.500000mm,Top,0
U1,48.000000mm,-58.000000mm,Top,0
U2,83.000000mm,-58.000000mm,Top,0
U3,100.000000mm,-82.000000mm,Top,0
U4,80.000000mm,-82.000000mm,Top,180
U5,55.000000mm,-74.000000mm,Top,0
U6,66.000000mm,-57.000000mm,Top,0
U7,98.000000mm,-22.000000mm,Top,90
